DATE,age,bmr,body_fat,date_join,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,gender,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_count,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight,date,tempmean,tempmax,tempmin,precip,snow,location
20130504,30.134246575342466,1937.5021165890407,0.0,20130504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,5864.0,504.37700545800004,8317.0,21414.0,1184.0,4920.0,10750.0,2441.879122047041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,41579.0,1231.0,44789.0,0.0,40889.0,1.0,3420.0,3420.0,0.0,11.0,0.0,86.1825,20130504,59,69,48,0.0,0.0,knyc-central park
20130505,30.136986301369863,1937.483609739726,0.0,20130505,0.0,480.0,72.0,0.0,1.0,40.0,4.0,36.0,260.0,4.0,0.0,0,1.778,4604.0,340.498005509,5644.0,27300.0,1263.0,5160.0,7748.0,2277.981615248726,0.0,0.0,60118.0,5049.0,93269.0,2.0,58469.0,2.0,13622.0,29944.0,16322.0,91.0,0.0,1.0,60.0,-421.0,4722.0,3057.0,1.0,-3843.0,1.0,1860.0,2220.0,360.0,8.0,0.0,86.1825,20130505,55,64,46,0.0,0.0,knyc-central park
20130506,30.13972602739726,1937.4651028904111,0.0,20130506,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0,1.778,3749.0,319.44000169599997,5341.0,27780.0,501.0,3120.0,6895.0,2256.905104586411,0.0,0.0,20759.0,1246.0,29054.0,1.0,20054.0,1.0,2820.0,8004.0,5184.0,20.0,0.0,1.0,40.0,-61.0,5140.0,19675.0,1.0,-3425.0,1.0,5160.0,18240.0,13080.0,55.0,0.0,86.1825,20130506,58,69,46,0.0,0.0,knyc-central park
20130507,30.14246575342466,1937.446596041096,0.0,20130507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,7002.0,590.792003945,10132.0,25200.0,1417.0,4920.0,13009.0,2528.238599986096,0.0,0.0,22619.0,430.0,25823.0,0.0,22223.0,1.0,1080.0,3420.0,2340.0,8.0,0.0,0.0,0.0,-61.0,3103.0,21437.0,2.0,-2263.0,1.0,10080.0,20863.0,10783.0,69.0,0.0,86.1825,20130507,63,74,52,0.0,0.0,knyc-central park
20130508,30.145205479452056,1937.4280891917806,0.0,20130508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4652.0,383.96700370300005,6469.0,25980.0,606.0,4800.0,8452.0,2321.395092894781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,1139.0,3493.0,32266.0,4.0,166.0,1.0,12961.0,28801.0,15840.0,91.0,0.0,86.1825,20130508,59,63,55,3.02,0.0,knyc-central park
20130509,30.14794520547945,1937.4095823424655,0.0,20130509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,808.0,67.1700000763,1092.0,30360.0,81.0,4680.0,1435.0,2004.5795824187655,0.0,0.0,24779.0,303.0,30837.0,0.0,24537.0,1.0,600.0,6240.0,5640.0,12.0,0.0,1.0,40.0,1139.0,4210.0,24189.0,2.0,-1311.0,1.0,6919.0,21541.0,14622.0,64.0,0.0,86.1825,20130509,61,68,54,0.5,0.0,knyc-central park
20130510,30.150684931506852,1937.3910754931505,0.0,20130510,10.0,105.0,27.0,0.0,1.0,3.0,1.0,0.0,1.0,14.0,0.0,0,1.778,10571.0,1282.78100178,18569.0,26400.0,3605.0,9840.0,21518.0,3220.1720772731505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,2579.0,8435.0,20603.0,1.0,-4597.0,1.0,5280.0,17402.0,12122.0,53.0,0.0,86.1825,20130510,69,79,59,0.01,0.0,knyc-central park
20130511,30.153424657534245,1937.372568643836,0.0,20130511,10.0,197.0,54.0,0.0,1.0,3.0,2.0,0.0,6.0,37.0,0.0,0,1.778,3407.0,281.572002977,4618.0,27180.0,746.0,7980.0,6084.0,2218.944571620836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,15299.0,6105.0,38885.0,2.0,14585.0,1.0,8473.0,19330.0,10857.0,56.0,0.0,86.1825,20130511,66,70,61,1.09,0.0,knyc-central park
20130512,30.156164383561645,1937.3540617945205,0.0,20130512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,8765.0,916.7150067089999,13742.0,21300.0,5962.0,3720.0,16707.0,2854.069068503521,0.0,0.0,63599.0,728.0,66951.0,1.0,63351.0,1.0,0.0,2941.0,2941.0,5.0,0.0,1.0,80.0,-961.0,8057.0,32443.0,2.0,-5957.0,1.0,10320.0,30780.0,20460.0,90.0,0.0,86.1825,20130512,61,70,51,0.001,0.0,knyc-central park
20130513,30.158904109589038,1937.3355549452053,0.0,20130513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,2975.0,254.04200062200002,4400.0,28320.0,481.0,5460.0,5588.0,2191.377555567205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,-3241.0,8111.0,25156.0,4.0,-5744.0,1.0,14220.0,22860.0,8640.0,82.0,0.0,86.1825,20130513,52,58,45,0.0,0.0,knyc-central park
20130514,30.16164383561644,1937.3170480958904,0.0,20130514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,3160.0,283.995001376,4720.0,28800.0,487.0,6180.0,5991.0,2221.3120494718905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1199.0,5018.0,25165.0,1.0,-2435.0,1.0,4860.0,22819.0,17959.0,62.0,0.0,86.1825,20130514,52,61,42,0.0,0.0,knyc-central park
20130515,30.164383561643834,1937.2985412465757,0.0,20130515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,1062.0,92.8060002327,1494.0,29700.0,170.0,3240.0,1934.0,2030.1045414792752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,-2941.0,3524.0,29050.0,4.0,-4250.0,1.0,8668.0,29946.0,21278.0,84.0,0.0,86.1825,20130515,62,69,54,0.0,0.0,knyc-central park
20130516,30.16712328767123,1937.2800343972604,0.0,20130516,29.0,305.0,78.0,0.0,1.0,9.0,4.0,0.0,3.0,42.0,0.0,0,1.778,10801.0,1199.77400553,18007.0,23280.0,3532.0,3840.0,21385.0,3137.054039927261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,-2101.0,4483.0,24238.0,3.0,-3062.0,1.0,7020.0,23329.0,16309.0,69.0,0.0,86.1825,20130516,71,79,62,0.0,0.0,knyc-central park
20130517,30.16986301369863,1937.2615275479448,0.0,20130517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,3697.0,325.37700335700004,5120.0,31140.0,826.0,21960.0,6679.0,2262.638530904945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580.0,0.0,27420.0,0.0,2580.0,1.0,0.0,24840.0,0.0,0.0,0.0,86.1825,20130517,65,72,58,0.0,0.0,knyc-central park
20130518,30.172602739726035,1937.24302069863,0.0,20130518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,3492.0,286.788001955,4711.0,22620.0,640.0,5280.0,6202.0,2224.0310226536303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1741.0,4918.0,29641.0,2.0,-4559.0,1.0,11281.0,29701.0,18420.0,87.0,0.0,86.1825,20130518,61,65,56,0.01,0.0,knyc-central park
20130519,30.175342465753427,1937.2245138493151,0.0,20130519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,7245.0,814.464006096,11971.0,21540.0,5622.0,4020.0,14215.0,2751.6885199453154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,-4741.0,5833.0,30287.0,2.0,-8713.0,1.0,11701.0,33780.0,22079.0,100.0,0.0,86.1825,20130519,57,59,55,0.6,0.0,knyc-central park
20130520,30.17808219178082,1937.206007,0.0,20130520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,3441.0,278.99200110099997,4633.0,24120.0,767.0,4380.0,6123.0,2216.198008101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-961.0,8079.0,27894.0,3.0,-4206.0,1.0,8760.0,24120.0,15360.0,73.0,0.0,86.1825,20130520,69,79,58,0.0,0.0,knyc-central park
20130521,30.180821917808217,1937.1875001506849,0.0,20130521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,5804.0,495.39600174099996,8255.0,29820.0,1417.0,4800.0,10684.0,2432.583501891685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1321.0,9570.0,27165.0,3.0,-4635.0,1.0,10825.0,25905.0,15080.0,81.0,0.0,86.1825,20130521,77,86,68,0.0,0.0,knyc-central park
20130522,30.18356164383561,1937.16899330137,0.0,20130522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,1171.0,108.15600001799999,1757.0,28920.0,323.0,7140.0,2191.0,2045.32499331937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1825,20130522,69,78,59,0.0,0.0,knyc-central park
20130523,30.18630136986301,1937.1504864520548,0.0,20130523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,7486.0,1022.31300305,14310.0,26100.0,2522.0,5880.0,15911.0,2959.463489502055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3901.0,5429.0,22967.0,4.0,-6433.0,1.0,6240.0,24249.0,18009.0,70.0,0.0,86.1825,20130523,72,80,64,1.81,0.0,knyc-central park
20130524,30.189041095890413,1937.1319796027399,0.0,20130524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,11238.0,1252.08900456,18922.0,22140.0,3015.0,10260.0,22468.0,3189.22098416274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,5202.0,24198.0,2.0,-402.0,1.0,9420.0,20760.0,11340.0,67.0,0.0,86.1825,20130524,55,65,45,0.3,0.0,knyc-central park
20130525,30.19178082191781,1937.1134727534247,0.0,20130525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,10056.0,1185.527006,17200.0,21540.0,2883.0,7320.0,20029.0,3122.640478753425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13919.0,3372.0,34511.0,1.0,13211.0,1.0,7861.0,19597.0,11736.0,56.0,0.0,86.1825,20130525,50,54,45,0.14,0.0,knyc-central park
20130526,30.194520547945213,1937.0949659041096,0.0,20130526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,10406.0,969.306005895,15555.0,26160.0,2129.0,12300.0,19743.0,2906.400971799109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1825,20130526,57,66,48,0.0,0.0,knyc-central park
20130527,30.197260273972606,1937.0764590547947,0.0,20130527,360.0,674.0,80.1,278.0,2.0,3.4,33.04,9.511000000000001,1752.0,10.97,12.142000000000001,0,1.778,10466.0,833.00601463,13819.0,19980.0,3804.0,8040.0,18431.0,2770.0824736847944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6359.0,4819.0,35920.0,2.0,4120.0,1.0,10502.0,27961.0,17459.0,80.0,0.0,86.1825,20130527,62,73,51,0.0,0.0,knyc-central park
20130528,30.2,1937.0579522054795,0.0,20130528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4936.0,429.179001495,7172.0,30060.0,648.0,7020.0,9174.0,2366.23695370048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7979.0,9044.0,25216.0,2.0,2416.0,1.0,7440.0,15780.0,8340.0,51.0,0.0,86.1825,20130528,62,68,56,0.52,0.0,knyc-central park
20130529,30.2027397260274,1937.0394453561646,0.0,20130529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4884.0,422.604003668,6954.0,28860.0,696.0,9600.0,9006.0,2359.6434490241645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5519.0,5344.0,27168.0,1.0,2868.0,1.0,3480.0,21171.0,17691.0,54.0,0.0,86.1825,20130529,70,82,58,0.0,0.0,knyc-central park
20130530,30.2054794520548,1937.0209385068488,0.0,20130530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,5218.0,628.622000769,9237.0,28140.0,2084.0,9420.0,10635.0,2565.642939275849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,8363.0,33445.0,3.0,-3455.0,1.0,9300.0,30352.0,21052.0,88.0,0.0,86.1825,20130530,81,90,72,0.0,0.0,knyc-central park
20130531,30.20821917808219,1937.0024316575345,0.0,20130531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,9045.0,1054.3850036000001,15513.0,24480.0,2313.0,6120.0,18102.0,2991.387435257534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639.0,5404.0,25107.0,3.0,207.0,1.0,6421.0,20161.0,13740.0,58.0,0.0,86.1825,20130531,83,90,75,0.0,0.0,knyc-central park
20130601,30.21095890410959,1936.9839248082194,0.0,20130601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,2937.0,247.37100212299998,3971.0,26940.0,738.0,7320.0,5210.0,2184.3549269312193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4680.0,0.0,33480.0,0.0,4680.0,1.0,0.0,28800.0,0.0,0.0,0.0,86.1825,20130601,82,90,73,0.0,0.0,knyc-central park
20130602,30.213698630136985,1936.965417958904,0.0,20130602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,7487.0,587.8340088580001,10095.0,24000.0,1753.0,5100.0,13344.0,2524.799426816904,0.0,0.0,45659.0,383.0,47077.0,0.0,45277.0,1.0,780.0,1572.0,792.0,3.0,0.0,1.0,40.0,1320.0,4676.0,32347.0,2.0,-1553.0,1.0,9239.0,29458.0,20219.0,82.0,0.0,86.1825,20130602,79,88,69,0.85,0.0,knyc-central park
20130603,30.21643835616439,1936.9469111095889,0.0,20130603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,1485.0,133.212000206,2168.0,28920.0,166.0,4320.0,2764.0,2070.158911315589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,7116.0,32748.0,4.0,-4152.0,1.0,4326.0,29880.0,25554.0,74.0,0.0,86.1825,20130603,72,78,66,0.87,0.0,knyc-central park
20130604,30.21917808219178,1936.928404260274,0.0,20130604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,3114.0,290.195000231,4763.0,28980.0,685.0,9540.0,5992.0,2227.123404491274,0.0,0.0,23399.0,997.0,26882.0,0.0,22682.0,1.0,1080.0,3443.0,2363.0,8.0,0.0,0.0,0.0,-2281.0,5695.0,21775.0,3.0,-4325.0,1.0,10020.0,21180.0,11160.0,73.0,0.0,86.1825,20130604,66,75,57,0.0,0.0,knyc-central park
20130605,30.221917808219175,1936.9098974109588,0.0,20130605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4902.0,446.081002712,7401.0,29340.0,1076.0,8520.0,9322.0,2382.990900122959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2219.0,3635.0,29725.0,3.0,1225.0,1.0,8220.0,25800.0,17580.0,73.0,0.0,86.1825,20130605,66,74,58,0.0,0.0,knyc-central park
20130606,30.224657534246568,1936.891390561644,0.0,20130606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,9500.0,1157.41400835,16702.0,28620.0,3301.0,10320.0,19262.0,3094.3053989116443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2161.0,2649.0,20271.0,3.0,-2829.0,1.0,7380.0,20490.0,13110.0,66.0,0.0,86.1825,20130606,65,70,59,0.13,0.0,knyc-central park
20130607,30.227397260273968,1936.8728837123288,0.0,20130607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,5687.0,523.154002815,8495.0,30300.0,959.0,14820.0,10736.0,2460.026886527329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2821.0,9609.0,31671.0,3.0,-6429.0,1.0,10081.0,31560.0,21479.0,95.0,0.0,86.1825,20130607,61,63,59,4.16,0.0,knyc-central park
20130608,30.23013698630137,1936.8543768630136,0.0,20130608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,8129.0,683.052007467,11289.0,26100.0,1311.0,7260.0,14729.0,2619.906384330013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14759.0,3349.0,34871.0,1.0,13271.0,1.0,9540.0,19500.0,9960.0,60.0,0.0,86.1825,20130608,67,77,57,0.48,0.0,knyc-central park
20130609,30.232876712328768,1936.8358700136987,0.0,20130609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4640.0,450.845000461,7098.0,29160.0,1484.0,13620.0,8941.0,2387.6808704746986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12923.0,0.0,41723.0,0.0,12923.0,1.0,0.0,28800.0,0.0,0.0,0.0,86.1825,20130609,72,80,63,0.0,0.0,knyc-central park
20130610,30.235616438356168,1936.8173631643838,0.0,20130610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,8902.0,1098.15100549,15727.0,21120.0,3600.0,6180.0,18060.0,3034.9683686543835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1621.0,4961.0,21362.0,2.0,-5338.0,1.0,7920.0,22039.0,14119.0,67.0,0.0,86.1825,20130610,66,70,62,1.38,0.0,knyc-central park
20130611,30.23835616438356,1936.7988563150684,0.0,20130611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,6411.0,545.443002999,9158.0,22920.0,1040.0,4380.0,11809.0,2482.2418593140687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,-7261.0,3950.0,21134.0,2.0,-8566.0,1.0,10142.0,25796.0,15654.0,82.0,0.0,86.1825,20130611,72,80,64,0.09,0.0,knyc-central park
20130612,30.24109589041096,1936.7803494657533,0.0,20130612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,3555.0,315.79000169,5341.0,27240.0,749.0,4200.0,6757.0,2252.570351155753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1501.0,1845.0,32281.0,2.0,-1919.0,1.0,9660.0,32414.0,22754.0,92.0,0.0,86.1825,20130612,71,76,65,0.0,0.0,knyc-central park
20130613,30.24383561643836,1936.7618426164386,0.0,20130613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4252.0,386.348001674,6327.0,27000.0,630.0,7320.0,8020.0,2323.1098442904386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-901.0,4058.0,26626.0,2.0,-3074.0,1.0,5481.0,25761.0,20280.0,69.0,0.0,86.1825,20130613,62,69,55,1.26,0.0,knyc-central park
